Step 	Input 	Output 	K1 	K2 	K3 	K4 	K5 	M1 	M2 	S1 	S2 	S3 	S4 	S5 	Chi 	Psi 	M1 	M2 	TM 
183 : 	Y x.x.x	- xxxxx	20	30	17	8	5	18	35	23	29	7	6	50	xxx..	x.xx.	.	.	.
184 : 	3 ...x.	O ...xx	21	31	18	9	6	19	35	23	29	7	6	50	x.xxx	x.xx.	.	.	.
185 : 	V .xxxx	B x..xx	22	1	19	10	7	20	35	23	29	7	6	50	.x.x.	x.xx.	x	.	x
186 : 	A xx...	J xx.x.	23	2	20	11	8	21	36	24	30	8	7	51	.x..x	.x.xx	x	x	x
187 : 	A xx...	E x....	24	3	21	12	9	22	37	25	31	9	8	52	x.x.x	xxx.x	x	.	.
188 : 	H ..x.x	K xxxx.	25	4	22	13	10	23	1	25	31	9	8	52	..xx.	xxx.x	x	x	x
189 : 	O ...xx	T ....x	26	5	23	14	11	24	2	26	32	10	9	53	.x...	.x.x.	.	.	x
190 : 	Z x...x	E x....	27	6	24	15	12	25	2	27	33	11	10	54	xxx.x	xxx..	x	.	.
191 : 	W xx..x	+ xx.xx	28	7	25	16	13	26	3	27	33	11	10	54	xxxx.	xxx..	.	x	x
192 : 	J xx.x.	+ xx.xx	29	8	26	17	14	27	3	28	34	12	11	55	...x.	...xx	x	x	x
193 : 	A xx...	. ..x..	30	9	27	18	15	28	4	29	35	13	12	56	xx...	..x..	x	x	x
194 : 	T ....x	- xxxxx	31	10	28	19	16	29	5	30	36	14	13	57	.xx.x	x..xx	.	x	x
195 : 	A xx...	- xxxxx	32	11	29	20	17	30	5	31	37	15	14	58	x.xxx	x....	x	x	x
196 : 	3 ...x.	S x.x..	33	12	1	21	18	31	6	32	38	16	15	59	x...x	..xxx	x	.	x
197 : 	S x.x..	I .xx..	34	13	2	22	19	32	7	33	39	17	16	1	.....	xx...	.	x	x
198 : 	3 ...x.	N ..xx.	35	14	3	23	20	33	7	34	40	18	17	2	xxxxx	xx.xx	.	x	x
